13/12/2010 14:04:46 (Std) 	WindowRendererFactory 'Falagard/FrameWindow' added. (071B8CA8)
13/12/2010 14:04:46 (Std) 	Created WindowRendererFactory for 'Falagard/ItemEntry' WindowRenderers.
13/12/2010 14:04:46 (Std) 	WindowRendererFactory 'Falagard/ItemEntry' added. (0712F798)
13/12/2010 14:04:46 (Std) 	Created WindowRendererFactory for 'Falagard/ListHeader' WindowRenderers.
13/12/2010 14:04:46 (Std) 	WindowRendererFactory 'Falagard/ListHeader' added. (071B8250)
13/12/2010 14:04:46 (Std) 	Created WindowRendererFactory for 'Falagard/ListHeaderSegment' WindowRenderers.
13/12/2010 14:04:46 (Std) 	WindowRendererFactory 'Falagard/ListHeaderSegment' added. (0710EBD0)
13/12/2010 14:04:46 (Std) 	Created WindowRendererFactory for 'Falagard/Listbox' WindowRenderers.
13/12/2010 14:04:46 (Std) 	WindowRendererFactory 'Falagard/Listbox' added. (07111DA8)
13/12/2010 14:04:46 (Std) 	Created WindowRendererFactory for 'Falagard/Menubar' WindowRenderers.
13/12/2010 14:04:46 (Std) 	WindowRendererFactory 'Falagard/Menubar' added. (07782740)
13/12/2010 14:04:46 (Std) 	Created WindowRendererFactory for 'Falagard/MenuItem' WindowRenderers.
13/12/2010 14:04:46 (Std) 	WindowRendererFactory 'Falagard/MenuItem' added. (077681B8)
13/12/2010 14:04:46 (Std) 	Created WindowRendererFactory for 'Falagard/MultiColumnList' WindowRenderers.
13/12/2010 14:04:46 (Std) 	WindowRendererFactory 'Falagard/MultiColumnList' added. (07733410)
13/12/2010 14:04:46 (Std) 	Created WindowRendererFactory for 'Falagard/MultiLineEditbox' WindowRenderers.
13/12/2010 14:04:46 (Std) 	WindowRendererFactory 'Falagard/MultiLineEditbox' added. (071B7448)
13/12/2010 14:04:46 (Std) 	Created WindowRendererFactory for 'Falagard/PopupMenu' WindowRenderers.
13/12/2010 14:04:46 (Std) 	WindowRendererFactory 'Falagard/PopupMenu' added. (02752828)
13/12/2010 14:04:46 (Std) 	Created WindowRendererFactory for 'Falagard/ProgressBar' WindowRenderers.
13/12/2010 14:04:46 (Std) 	WindowRendererFactory 'Falagard/ProgressBar' added. (077A5EF0)
13/12/2010 14:04:46 (Std) 	Created WindowRendererFactory for 'Falagard/ScrollablePane' WindowRenderers.
13/12/2010 14:04:46 (Std) 	WindowRendererFactory 'Falagard/ScrollablePane' added. (07119918)
13/12/2010 14:04:46 (Std) 	Created WindowRendererFactory for 'Falagard/Scrollbar' WindowRenderers.
13/12/2010 14:04:46 (Std) 	WindowRendererFactory 'Falagard/Scrollbar' added. (07119AD8)
13/12/2010 14:04:46 (Std) 	Created WindowRendererFactory for 'Falagard/Slider' WindowRenderers.
13/12/2010 14:04:46 (Std) 	WindowRendererFactory 'Falagard/Slider' added. (07119C98)
13/12/2010 14:04:46 (Std) 	Created WindowRendererFactory for 'Falagard/Static' WindowRenderers.
13/12/2010 14:04:46 (Std) 	WindowRendererFactory 'Falagard/Static' added. (07119E58)
13/12/2010 14:04:46 (Std) 	Created WindowRendererFactory for 'Falagard/StaticImage' WindowRenderers.
13/12/2010 14:04:46 (Std) 	WindowRendererFactory 'Falagard/StaticImage' added. (077A84F0)
13/12/2010 14:04:46 (Std) 	Created WindowRendererFactory for 'Falagard/StaticText' WindowRenderers.
13/12/2010 14:04:46 (Std) 	WindowRendererFactory 'Falagard/StaticText' added. (077A86B0)
13/12/2010 14:04:46 (Std) 	Created WindowRendererFactory for 'Falagard/SystemButton' WindowRenderers.
13/12/2010 14:04:46 (Std) 	WindowRendererFactory 'Falagard/SystemButton' added. (077A8870)
13/12/2010 14:04:46 (Std) 	Created WindowRendererFactory for 'Falagard/TabButton' WindowRenderers.
13/12/2010 14:04:46 (Std) 	WindowRendererFactory 'Falagard/TabButton' added. (077A8A30)
13/12/2010 14:04:46 (Std) 	Created WindowRendererFactory for 'Falagard/TabControl' WindowRenderers.
13/12/2010 14:04:46 (Std) 	WindowRendererFactory 'Falagard/TabControl' added. (077A8BF0)
13/12/2010 14:04:46 (Std) 	Created WindowRendererFactory for 'Falagard/Titlebar' WindowRenderers.
13/12/2010 14:04:46 (Std) 	WindowRendererFactory 'Falagard/Titlebar' added. (02750770)
13/12/2010 14:04:46 (Std) 	Created WindowRendererFactory for 'Falagard/ToggleButton' WindowRenderers.
13/12/2010 14:04:46 (Std) 	WindowRendererFactory 'Falagard/ToggleButton' added. (02750930)
13/12/2010 14:04:46 (Std) 	Created WindowRendererFactory for 'Falagard/Tooltip' WindowRenderers.
13/12/2010 14:04:46 (Std) 	WindowRendererFactory 'Falagard/Tooltip' added. (02750AF0)
13/12/2010 14:04:46 (Std) 	Created WindowRendererFactory for 'Falagard/ItemListbox' WindowRenderers.
13/12/2010 14:04:46 (Std) 	WindowRendererFactory 'Falagard/ItemListbox' added. (02750CB0)
13/12/2010 14:04:46 (Std) 	Created WindowRendererFactory for 'Falagard/Tree' WindowRenderers.
13/12/2010 14:04:46 (Std) 	WindowRendererFactory 'Falagard/Tree' added. (0779C0A8)
13/12/2010 14:04:46 (Std) 	Creating falagard mapping for type 'TaharezLook/Button' using base type 'CEGUI/PushButton', window renderer 'Falagard/Button' Look'N'Feel 'TaharezLook/Button' and RenderEffect ''. (005CAE3C)
13/12/2010 14:04:46 (Std) 	Creating falagard mapping for type 'TaharezLook/Checkbox' using base type 'CEGUI/Checkbox', window renderer 'Falagard/ToggleButton' Look'N'Feel 'TaharezLook/Checkbox' and RenderEffect ''. (005CAE3C)
13/12/2010 14:04:46 (Std) 	Creating falagard mapping for type 'TaharezLook/ImageButton' using base type 'CEGUI/PushButton', window renderer 'Falagard/Button' Look'N'Feel 'TaharezLook/ImageButton' and RenderEffect ''. (005CAE3C)
13/12/2010 14:04:46 (Std) 	Creating falagard mapping for type 'TaharezLook/RadioButton' using base type 'CEGUI/RadioButton', window renderer 'Falagard/ToggleButton' Look'N'Feel 'TaharezLook/RadioButton' and RenderEffect ''. (005CAE3C)
13/12/2010 14:04:46 (Std) 	Creating falagard mapping for type 'TaharezLook/FrameWindow' using base type 'CEGUI/FrameWindow', window renderer 'Falagard/FrameWindow' Look'N'Feel 'TaharezLook/FrameWindow' and RenderEffect ''. (005CAE3C)
13/12/2010 14:04:46 (Std) 	Creating falagard mapping for type 'TaharezLook/Titlebar' using base type 'CEGUI/Titlebar', window renderer 'Falagard/Titlebar' Look'N'Feel 'TaharezLook/Titlebar' and RenderEffect ''. (005CAE3C)
13/12/2010 14:04:46 (Std) 	Creating falagard mapping for type 'TaharezLook/SystemButton' using base type 'CEGUI/PushButton', window renderer 'Falagard/Button' Look'N'Feel 'TaharezLook/Button' and RenderEffect ''. (005CAE3C)
13/12/2010 14:04:46 (Std) 	Creating falagard mapping for type 'TaharezLook/Editbox' using base type 'CEGUI/Editbox', window renderer 'Falagard/Editbox' Look'N'Feel 'TaharezLook/Editbox' and RenderEffect ''. (005CAE3C)
13/12/2010 14:04:46 (Std) 	Creating falagard mapping for type 'TaharezLook/MultiLineEditbox' using base type 'CEGUI/MultiLineEditbox', window renderer 'Falagard/MultiLineEditbox' Look'N'Feel 'TaharezLook/MultiLineEditbox' and RenderEffect ''. (005CAE3C)
13/12/2010 14:04:46 (Std) 	Creating falagard mapping for type 'TaharezLook/Menubar' using base type 'CEGUI/Menubar', window renderer 'Falagard/Menubar' Look'N'Feel 'TaharezLook/Menubar' and RenderEffect ''. (005CAE3C)
13/12/2010 14:04:46 (Std) 	Creating falagard mapping for type 'TaharezLook/PopupMenu' using base type 'CEGUI/PopupMenu', window renderer 'Falagard/PopupMenu' Look'N'Feel 'TaharezLook/PopupMenu' and RenderEffect ''. (005CAE3C)
13/12/2010 14:04:46 (Std) 	Creating falagard mapping for type 'TaharezLook/MenuItem' using base type 'CEGUI/MenuItem', window renderer 'Falagard/MenuItem' Look'N'Feel 'TaharezLook/MenuItem' and RenderEffect ''. (005CAE3C)
13/12/2010 14:04:46 (Std) 	Creating falagard mapping for type 'TaharezLook/AlternateProgressBar' using base type 'CEGUI/ProgressBar', window renderer 'Falagard/ProgressBar' Look'N'Feel 'TaharezLook/AltProgressBar' and RenderEffect ''. (005CAE3C)
13/12/2010 14:04:46 (Std) 	Creating falagard mapping for type 'TaharezLook/ProgressBar' using base type 'CEGUI/ProgressBar', window renderer 'Falagard/ProgressBar' Look'N'Feel 'TaharezLook/ProgressBar' and RenderEffect ''. (005CAE3C)
13/12/2010 14:04:46 (Std) 	Creating falagard mapping for type 'TaharezLook/VUMeter' using base type 'CEGUI/ProgressBar', window renderer 'Falagard/ProgressBar' Look'N'Feel 'TaharezLook/VUMeter' and RenderEffect ''. (005CAE3C)
13/12/2010 14:04:46 (Std) 	Creating falagard mapping for type 'TaharezLook/VerticalScrollbar' using base type 'CEGUI/Scrollbar', window renderer 'Falagard/Scrollbar' Look'N'Feel 'TaharezLook/VerticalScrollbar' and RenderEffect ''. (005CAE3C)
13/12/2010 14:04:46 (Std) 	Creating falagard mapping for type 'TaharezLook/HorizontalScrollbar' using base type 'CEGUI/Scrollbar', window renderer 'Falagard/Scrollbar' Look'N'Feel 'TaharezLook/HorizontalScrollbar' and RenderEffect ''. (005CAE3C)
13/12/2010 14:04:46 (Std) 	Creating falagard mapping for type 'TaharezLook/VerticalScrollbarThumb' using base type 'CEGUI/Thumb', window renderer 'Falagard/Button' Look'N'Feel 'TaharezLook/VerticalScrollbarThumb' and RenderEffect ''. (005CAE3C)
13/12/2010 14:04:46 (Std) 	Creating falagard mapping for type 'TaharezLook/HorizontalScrollbarThumb' using base type 'CEGUI/Thumb', window renderer 'Falagard/Button' Look'N'Feel 'TaharezLook/HorizontalScrollbarThumb' and RenderEffect ''. (005CAE3C)
13/12/2010 14:04:46 (Std) 	Creating falagard mapping for type 'TaharezLook/LargeVerticalScrollbar' using base type 'CEGUI/Scrollbar', window renderer 'Falagard/Scrollbar' Look'N'Feel 'TaharezLook/LargeVerticalScrollbar' and RenderEffect ''. (005CAE3C)
13/12/2010 14:04:46 (Std) 	Creating falagard mapping for type 'TaharezLook/LargeVerticalScrollbarThumb' using base type 'CEGUI/Thumb', window renderer 'Falagard/Button' Look'N'Feel 'TaharezLook/LargeVerticalScrollbarThumb' and RenderEffect ''. (005CAE3C)
13/12/2010 14:04:46 (Std) 	Creating falagard mapping for type 'TaharezLook/TabButton' using base type 'CEGUI/TabButton', window renderer 'Falagard/TabButton' Look'N'Feel 'TaharezLook/TabButton' and RenderEffect ''. (005CAE3C)
13/12/2010 14:04:46 (Std) 	Creating falagard mapping for type 'TaharezLook/TabControl' using base type 'CEGUI/TabControl', window renderer 'Falagard/TabControl' Look'N'Feel 'TaharezLook/TabControl' and RenderEffect ''. (005CAE3C)
13/12/2010 14:04:46 (Std) 	Creating falagard mapping for type 'TaharezLook/TabContentPane' using base type 'DefaultWindow', window renderer 'Falagard/Default' Look'N'Feel 'TaharezLook/TabContentPane' and RenderEffect ''. (005CAE3C)
13/12/2010 14:04:46 (Std) 	Creating falagard mapping for type 'TaharezLook/TabButtonPane' using base type 'DefaultWindow', window renderer 'Falagard/Default' Look'N'Feel 'TaharezLook/TabButtonPane' and RenderEffect ''. (005CAE3C)
13/12/2010 14:04:46 (Std) 	Creating falagard mapping for type 'TaharezLook/ComboDropList' using base type 'CEGUI/ComboDropList', window renderer 'Falagard/Listbox' Look'N'Feel 'TaharezLook/ComboDropList' and RenderEffect ''. (005CAE3C)
